Word,Score
마감일상시채용,1231.0
마감일2024,99.61649063963787
09,95.86066718573363
마감일2024 09,93.14347646404242
30,55.53178895168594
09 30,55.1616025882479
10,22.531884346591866
마감일2024 10,16.343925353136576
11,12.734761390867869
31,12.480151574712941
10 31,11.863825066745196
12,10.272729750406079
13,9.549546150827343
09 10,9.320096931443143
09 12,9.298845121582062
09 13,9.230029854060609
08,9.192583941064438
09 08,9.192583941064438
28,7.517483035665029
27,7.2314351270458275
마감일2024 11,7.22051908007932
09 11,7.203290590634317
09 27,6.8585016166300115
16,6.481335803174184
09 28,6.320977879029864
09 09,6.134457622855698
09 16,5.6868393965306385
03,5.620760682985034
09 03,5.620760682985034
22,5.377708216387774
20,5.297359499774537
05,5.151489860459295
09 23,5.0149438456873865
23,5.0149438456873865
02,4.844146223480465
09 20,4.467751935198709
09 02,4.438368072822971
09 05,3.8770879920158317
09 15,3.792496520699202
09 18,3.792496520699202
15,3.792496520699202
18,3.792496520699202
29,3.634044391432099
09 29,3.205330605181747
09 22,2.676004687664199
07,2.5533693306000393
09 07,2.5533693306000393
09 26,2.5533693306000393
26,2.5533693306000393
04,2.4361710863978825
21,2.4125405608022596
17,2.35372163933162
11 22,2.2559246134129127
09 04,1.9517546753252337
09 21,1.9517546753252337
25,1.821762581827124
06,1.7980388916476238
01,1.7354105616078095
10 01,1.7354105616078095
마감일2024 12,1.6216046629602205
09 17,1.3313042461641313
09 06,1.3145096384833599
09 25,1.3145096384833599
11 30,1.2808226792864295
10 28,1.2567243124075635
10 22,1.243680925892113
10 17,1.2003739657333692
11 05,1.1795724022741054
12 31,1.1373419753750353
09 19,0.652034234181354
09 24,0.652034234181354
19,0.652034234181354
24,0.652034234181354
10 16,0.6447772466818198
10 05,0.6398757912820873
10 20,0.6398757912820873
10 04,0.620974859014904
11 28,0.6184492736763649
11 27,0.6167400812081979
11 16,0.6148854738222423
10 25,0.6148335533577785
11 20,0.6106302118189656
11 02,0.6081531759967049
11 29,0.6021980388399774
11 21,0.594139592440034
11 06,0.5887538254348819
12 13,0.5818501597472044
만료,0.5773502691896257
페이지,0.5773502691896257
페이지 만료,0.5773502691896257
