Word,Score
100733,1.0
wd 221073,1.0
wd 223525,1.0
wd 223675,1.0
wd 223698,1.0
wd 223832,1.0
wd 223851,1.0
wd 224044,1.0
wd 224057,1.0
wd 224076,1.0
wd 224154,1.0
wd 224163,1.0
wd 224179,1.0
wd 224217,1.0
wd 224311,1.0
wd 224392,1.0
wd 224400,1.0
wd 224426,1.0
wd 224429,1.0
wd 224453,1.0
wd 224482,1.0
wd 224505,1.0
wd 224516,1.0
wd 224660,1.0
wd 224711,1.0
wd 224720,1.0
wd 224733,1.0
wd 224734,1.0
wd 224737,1.0
wd 225115,1.0
wd 225213,1.0
wd 225229,1.0
wd 225231,1.0
wd 225258,1.0
wd 225268,1.0
wd 225348,1.0
wd 225362,1.0
wd 225370,1.0
wd 225386,1.0
wd 225476,1.0
wd 225486,1.0
wd 225516,1.0
wd 225699,1.0
wd 225706,1.0
wd 225719,1.0
wd 225723,1.0
wd 225783,1.0
wd 225785,1.0
wd 225814,1.0
wd 225816,1.0
wd 225817,1.0
wd 225820,1.0
wd 225879,1.0
wd 225893,1.0
wd 225966,1.0
wd 225979,1.0
wd 225982,1.0
wd 226001,1.0
wd 226073,1.0
wd 226075,1.0
wd 226087,1.0
wd 226109,1.0
wd 226143,1.0
wd 226238,1.0
wd 226276,1.0
wd 226335,1.0
wd 226342,1.0
wd 226385,1.0
wd 226522,1.0
wd 226549,1.0
wd 226550,1.0
wd 226552,1.0
wd 226558,1.0
wd 226707,1.0
wd 226731,1.0
wd 226863,1.0
wd 226864,1.0
wd 226872,1.0
wd 226873,1.0
wd 226914,1.0
wd 226919,1.0
wd 226933,1.0
wd 226935,1.0
wd 226943,1.0
wd 226947,1.0
wd 226995,1.0
wd 227043,1.0
wd 227065,1.0
wd 227099,1.0
wd 227105,1.0
wd 227114,1.0
wd 227149,1.0
wd 227165,1.0
wd 227170,1.0
wd 227171,1.0
wd 227187,1.0
wd 227198,1.0
wd 227204,1.0
wd 227206,1.0
wd 227263,1.0
