Word,Score
지원,248.9470795679993
이하,207.21792184711958
연봉,181.35668829854416
커피,179.9242839997327
스낵바,179.63485118375465
커피 스낵바,179.63485118375465
휴가,156.8888356157743
급성,156.60272482385702
자기계발,151.06717182749847
건강검진,147.7871118160191
상위,144.77706488850646
연봉 상위,144.77706488850646
이하 설립,144.5314614447899
보너스,133.36660359499564
유연,129.47043883761495
산업,126.8190871514843
근무,124.82804372623472
유연 근무,123.9048155041096
선도,117.14545664607968
유망,115.74329044447965
업계,113.28804242185504
업계 평균,113.28804242185504
연봉 업계,113.28804242185504
평균,113.28804242185504
유망 산업,111.32994000287715
기업,110.9056505132225
자기계발 지원,102.51290399811307
설립 이하,98.83045312500005
선도 기업,98.42160222890493
건강검진 지원,97.84986547269348
상위 설립,96.38074373701222
편의,95.65268381012908
재택근무,88.50333221572045
이상인,88.32535357219972
시설,88.2357711716062
편의 시설,86.64600279878466
비지,85.00102769486102
인원,84.95608223998727
이상인 급성,78.90276423864042
인원 급성,77.88126225545574
설립 선도,76.91122454143905
누적,75.31536973028376
누적 투자,75.31536973028376
투자,75.31536973028376
평균 이상인,73.71799947779012
식대,72.39703731299065
식대 지원,71.73020830057925
원식,69.65022645951373
기업 연봉,63.104215164015955
지원 커피,62.29523191415863
