Word,Score
에이,41.05264628217439
컴퍼니,40.296908729462444
코리아,37.59009023227406
엑스,23.73711045843516
코퍼레이션,20.840599066697898
페이,18.27094949140439
큐브,17.0
테크,15.655007702129483
에스,14.429085845571786
랩스,13.0
소프트,12.703735452476074
스트로,11.0
현대,10.933025814089605
에프,10.468557241285685
한국,10.297259320725306
토스,10.110315733974987
홀딩스,10.081097342687617
파트너,10.070083843627751
레브잇,10.0
플러스,10.0
어스,9.934452287533976
인터,9.403207873446638
에이치,9.393594985567539
브이,9.299162811064665
다우기술,9.0
위메이드,9.0
프레,9.0
글로벌,8.4872718908761
테크놀로지,8.435633617974528
네트웍,8.401980020482954
카드,8.206466059114353
웨이,8.121320343559644
그룹,8.0
하이퍼,7.765329262600693
케이,7.502159887396609
데이터,7.427815913922705
웨이브,7.4007771100359125
패스트,7.119736283647728
스타,7.052781945993253
넥스트,7.0
넷마블,7.0
마이,7.0
미리,7.0
스윙,7.0
스퀘어,7.0
라이트,6.936677433749521
센트,6.771408677647696
바이,6.719765929375374
라이즈,6.460530397693236
스토어,6.2471242443315695
피어,6.080180867200752
대위,6.0
레드브릭,6.0
밀리,6.0
바비,6.0
버즈,6.0
샘표식품,6.0
엘리스,6.0
원티드,6.0
트릿,6.0
티스,6.0
플루,6.0
커넥트,5.938022626205017
이우,5.861796220157718
브레인,5.816639588769254
팩토리,5.777795890609344
서비스,5.72273740145479
네트워크,5.455581085850944
패스,5.416205011240639
그레이,5.3719128537291345
컨설팅,5.201780351269168
지스,5.178832429362475
데이,5.0831979438462715
로랑,5.0
리디,5.0
리미,5.0
스퀸잇,5.0
스페이스,5.0
테이블,5.0
포티,5.0
더블유,4.932389067759839
로보틱스,4.82550762418518
릭스,4.798161524868545
콘센트,4.798161524868545
엠에스,4.7594645699759095
카카오,4.681751115004312
뱅크,4.653614342481167
슈퍼,4.368266139353979
파이브,4.362083556420764
버킷,4.207843512072851
셀렉,4.18771256846144
신용,3.696348473161616
샌드박스,3.6137182180005682
레이스,3.5772251490864737
스트림,3.509287941082653
인티,3.509287941082653
올리브영,2.7255643337166315
통운,2.7255643337166315
컨셉,2.632231050464432
씨제이,2.5070293678150755
